,id,pro_pick,pro_ban,pro_win,win_rate
0,1,50,81,25,0.5
1,2,89,71,40,0.449438202247191
2,3,59,21,34,0.576271186440678
3,4,22,17,8,0.36363636363636365
4,5,187,35,104,0.5561497326203209
5,6,21,14,9,0.42857142857142855
6,7,237,96,120,0.5063291139240507
7,8,207,206,103,0.4975845410628019
8,9,313,272,166,0.5303514376996805
9,10,70,175,43,0.6142857142857143
10,11,37,14,19,0.5135135135135135
11,12,26,40,14,0.5384615384615384
12,13,49,36,22,0.4489795918367347
13,14,67,29,31,0.4626865671641791
14,15,55,63,29,0.5272727272727272
15,16,205,191,102,0.4975609756097561
16,17,123,156,65,0.5284552845528455
17,18,115,111,47,0.40869565217391307
18,19,428,414,228,0.5327102803738317
19,20,34,2,17,0.5
20,21,114,90,51,0.4473684210526316
21,22,51,21,26,0.5098039215686274
22,23,229,374,121,0.5283842794759825
23,25,239,187,129,0.5397489539748954
24,26,79,28,29,0.3670886075949367
25,27,128,49,59,0.4609375
26,28,46,20,16,0.34782608695652173
27,29,195,168,95,0.48717948717948717
28,30,83,23,36,0.43373493975903615
29,31,82,21,39,0.47560975609756095
30,32,9,9,3,0.3333333333333333
31,33,61,90,36,0.5901639344262295
32,34,52,114,25,0.4807692307692308
33,35,19,21,7,0.3684210526315789
34,36,41,30,19,0.4634146341463415
35,37,125,120,59,0.472
36,38,48,61,25,0.5208333333333334
37,39,72,84,33,0.4583333333333333
38,40,16,10,5,0.3125
39,41,250,356,125,0.5
40,42,167,123,68,0.40718562874251496
41,43,57,83,30,0.5263157894736842
42,44,61,30,24,0.39344262295081966
43,45,53,69,24,0.4528301886792453
44,46,94,106,56,0.5957446808510638
45,47,38,47,17,0.4473684210526316
46,48,16,4,9,0.5625
47,49,60,20,33,0.55
48,50,49,45,27,0.5510204081632653
49,51,25,8,11,0.44
50,52,314,257,158,0.5031847133757962
51,53,38,28,24,0.631578947368421
52,54,200,382,99,0.495
53,55,32,49,20,0.625
54,56,17,9,7,0.4117647058823529
55,57,121,191,50,0.4132231404958678
56,58,145,706,77,0.5310344827586206
57,59,23,50,11,0.4782608695652174
58,60,64,55,35,0.546875
59,61,40,162,26,0.65
60,62,36,23,18,0.5
61,63,32,23,16,0.5
62,64,148,51,67,0.4527027027027027
63,65,62,118,27,0.43548387096774194
64,66,95,410,62,0.6526315789473685
65,67,44,42,24,0.5454545454545454
66,68,165,237,77,0.4666666666666667
67,69,36,45,21,0.5833333333333334
68,70,40,48,15,0.375
69,71,80,65,36,0.45
70,72,237,142,129,0.5443037974683544
71,73,123,725,77,0.6260162601626016
72,74,190,137,89,0.46842105263157896
73,75,49,56,21,0.42857142857142855
74,76,140,440,61,0.4357142857142857
75,77,11,16,5,0.45454545454545453
76,78,16,11,6,0.375
77,79,293,510,163,0.5563139931740614
78,80,8,20,2,0.25
79,81,17,5,5,0.29411764705882354
80,82,40,106,26,0.65
81,83,70,145,39,0.5571428571428572
82,84,353,492,170,0.48158640226628896
83,85,46,47,26,0.5652173913043478
84,86,288,141,162,0.5625
85,87,39,2,14,0.358974358974359
86,88,53,98,34,0.6415094339622641
87,89,55,184,32,0.5818181818181818
88,90,10,11,4,0.4
89,91,69,385,37,0.5362318840579711
90,92,16,9,6,0.375
91,93,152,341,86,0.5657894736842105
92,94,26,29,10,0.38461538461538464
93,95,99,70,47,0.47474747474747475
94,96,199,152,102,0.5125628140703518
95,97,104,218,55,0.5288461538461539
96,98,90,103,46,0.5111111111111111
97,99,118,140,51,0.4322033898305085
98,100,55,12,24,0.43636363636363634
99,101,46,15,19,0.41304347826086957
100,102,111,48,58,0.5225225225225225
101,103,226,233,123,0.5442477876106194
102,104,75,42,40,0.5333333333333333
103,105,12,22,7,0.5833333333333334
104,106,260,361,125,0.4807692307692308
105,107,84,48,44,0.5238095238095238
106,108,37,14,12,0.32432432432432434
107,109,21,23,9,0.42857142857142855
108,110,48,20,20,0.4166666666666667
109,111,95,112,50,0.5263157894736842
110,112,63,47,25,0.3968253968253968
111,113,37,39,15,0.40540540540540543
112,114,97,109,42,0.4329896907216495
113,119,72,39,33,0.4583333333333333
114,120,77,34,33,0.42857142857142855
115,121,245,89,112,0.45714285714285713
116,129,73,69,36,0.4931506849315068
